text,element_type,url,title,meta_description,h1_tags,scrape_date,competitor,sentiment,vader_sentiment,technical_keywords,value_keywords,intent,cleaned_text
Non-drill data,h3,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752168,MineFlow,0.0,0.0,0,0,Other,nondrill data
"You can upload zip files (*.zip) that contain shapefiles or shapefiles themselves (*.sbx, *.dbf, *.shp, *.shx, *.xml, *.prj, *.sbn, *.cpg) for the non-drill data.",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752170,MineFlow,0.0,0.0,0,0,Other,you can upload zip files zip that contain shapefiles or shapefiles themselves sbx dbf shp shx xml prj sbn cpg for the nondrill data
Drill data,h3,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752173,MineFlow,0.0,0.0,0,0,Other,drill data
"For your drill data, upload Excel files (.xlsx). Ideally, your files should have columns that give the starting depth and the ending depth of each segment as well as some unique identifier for each drill hole segment (e.g. hole name).",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752175,MineFlow,0.425,0.7845,0,0,Other,for your drill data upload excel files xlsx ideally your files should have columns that give the starting depth and the ending depth of each segment as well as some unique identifier for each drill hole segment eg hole name
"Note: If your dips and azimuths are split into a separate shapefile that's okay, Mineflow will handle parsing that out for you.",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752178,MineFlow,0.5,0.2263,0,0,Other,note if your dips and azimuths are split into a separate shapefile thats okay mineflow will handle parsing that out for you
Data Designations,h2,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752180,MineFlow,0.0,0.0,0,0,Other,data designations
"After you upload your data, you'll notice that each file is assigned a ""designation.""",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752183,MineFlow,0.0,0.0,0,0,Other,after you upload your data youll notice that each file is assigned a designation
A designation is Mineflow's guess as to what type of data you uploaded. There are eight possible designations:,p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752186,MineFlow,0.0,0.0,0,0,Other,a designation is mineflows guess as to what type of data you uploaded there are eight possible designations
"Note: If you think that there are data groupings missing here, please let us know! There may be a better way to explain/phrase the groupings.",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752188,MineFlow,0.125,0.5093,0,0,Other,note if you think that there are data groupings missing here please let us know there may be a better way to explainphrase the groupings
Updating designation,h3,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752190,MineFlow,0.0,0.0,0,0,Other,updating designation
You'll notice that you can change the designation for a file. This is useful for Mineflow when it starts to train the predictive model on your dataset.,p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752193,MineFlow,0.3,0.4404,0,0,Other,youll notice that you can change the designation for a file this is useful for mineflow when it starts to train the predictive model on your dataset
Data Classes,h2,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752195,MineFlow,0.0,0.0,0,0,Other,data classes
"After you upload your data, you'll notice that it is also assigned a ""class.""",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752200,MineFlow,0.0,0.0,0,0,Other,after you upload your data youll notice that it is also assigned a class
A class is Mineflow's guess as to how many different types of data are represented in that file. The word class here comes from machine learning terminology where a class is a type of label that a piece of data falls into. A file can be one of two things:,p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752203,MineFlow,0.25,0.0,1,1,Balanced,a class is mineflows guess as to how many different types of data are represented in that file the word class here comes from machine learning terminology where a class is a type of label that a piece of data falls into a file can be one of two things
Mineflow creates your predictive model,h2,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752206,MineFlow,0.0,0.2732,0,0,Other,mineflow creates your predictive model
"After creating your dataset, the Mineflow team will ""train"" a model on that dataset. That means that we create a statistical model with the objective of generalizing from its experience. We will train two models for you:",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752209,MineFlow,0.0,0.5106,0,0,Other,after creating your dataset the mineflow team will train a model on that dataset that means that we create a statistical model with the objective of generalizing from its experience we will train two models for you
Note: We are only able to train a model to produce three-dimensional predictions if you have uploaded some drill data (otherwise the model doesn't know how to correlate data from the surface with data underground).,p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752211,MineFlow,0.25,0.0,0,0,Other,note we are only able to train a model to produce threedimensional predictions if you have uploaded some drill data otherwise the model doesnt know how to correlate data from the surface with data underground
"The time it takes to train a predictive model depends on the size of the dataset, the size of the area and whether or not the model is 2D or 3D.",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752215,MineFlow,0.0,0.0,0,0,Other,the time it takes to train a predictive model depends on the size of the dataset the size of the area and whether or not the model is d or d
"Once the Mineflow team has trained your custom model (see training ETA just below), you'll get an email from notifications@mineflow.ai, saying:",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752218,MineFlow,0.0,0.0,0,0,Other,once the mineflow team has trained your custom model see training eta just below youll get an email from notificationsmineflowai saying
Here is an example of the email:,p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752220,MineFlow,0.0,0.0,0,0,Other,here is an example of the email
"When you return to the Portal, your model will appear there, marked as successfully trained:",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752224,MineFlow,0.425,0.4939,0,0,Other,when you return to the portal your model will appear there marked as successfully trained
Generating predictions,h2,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752227,MineFlow,0.0,0.0,0,0,Other,generating predictions
"Once we have created your model, the Mineflow team will create a project where you can see an image with location, shape and size of your model's predictions.",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752232,MineFlow,0.0,0.4767,0,0,Other,once we have created your model the mineflow team will create a project where you can see an image with location shape and size of your models predictions
Navigate to the Portal to see your new project.,p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752236,MineFlow,0.13636363636363635,0.0,0,0,Other,navigate to the portal to see your new project
Clicking on your project will take you to a screen with a map on it that shows all of the data you uploaded:,p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752239,MineFlow,0.0,0.0,0,0,Other,clicking on your project will take you to a screen with a map on it that shows all of the data you uploaded
"Then, click the predict tab and choose the model that we just trained:",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752242,MineFlow,0.0,0.0,0,0,Other,then click the predict tab and choose the model that we just trained
"Then, select the area you're interested in:",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752244,MineFlow,0.25,0.4019,0,0,Other,then select the area youre interested in
"Press ""generate predictions"":",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752247,MineFlow,0.0,0.0,0,0,Other,press generate predictions
"A few minutes (or hours depending on the size of the area) later, you'll get an email saying that your predictions are ready and when you return to the project, it will have generated both a 2D prospectivity map for that area as well as a 3D block model for that area.",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752250,MineFlow,0.0,0.1779,0,0,Other,a few minutes or hours depending on the size of the area later youll get an email saying that your predictions are ready and when you return to the project it will have generated both a d prospectivity map for that area as well as a d block model for that area
Here is an example of what the 2D prospectivity map might look like:,p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752253,MineFlow,0.0,0.3612,0,0,Other,here is an example of what the d prospectivity map might look like
Here is an example of what a 3D block model might look like for a copper deposit. You can manipulate the 3D shape and adjust the visibility and transparency of each of the grades of copper.,p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752255,MineFlow,0.0,-0.1027,0,0,Other,here is an example of what a d block model might look like for a copper deposit you can manipulate the d shape and adjust the visibility and transparency of each of the grades of copper
The model can generate predictions for any mineral you want.,p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752259,MineFlow,0.0,0.0772,0,0,Other,the model can generate predictions for any mineral you want
"For instance, here is the software generating a block model for a gold deposit:",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752261,MineFlow,0.0,-0.4404,0,0,Other,for instance here is the software generating a block model for a gold deposit
Video demo,h2,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752264,MineFlow,0.0,0.0,0,0,Other,video demo
A video showing the site in use can be found here.,p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752267,MineFlow,0.0,0.0,0,0,Other,a video showing the site in use can be found here
Best practices,h2,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752269,MineFlow,1.0,0.6369,0,0,Other,best practices
FAQ,h2,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752272,MineFlow,0.0,0.0,0,0,Other,faq
How does Mineflow compare to existing solutions?,h3,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752274,MineFlow,0.0,0.1779,0,0,Other,how does mineflow compare to existing solutions
"Traditional geological modeling software usually supports estimators like Radial Basis Function (RBF), Inverse Distance estimator and techniques like wireframing and kriging. These can be used to take drill data and make guesses about what the shape of the deposit might look like.",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752278,MineFlow,-0.125,0.8402,1,1,Balanced,traditional geological modeling software usually supports estimators like radial basis function rbf inverse distance estimator and techniques like wireframing and kriging these can be used to take drill data and make guesses about what the shape of the deposit might look like
Here's how Mineflow differs:,p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752280,MineFlow,0.0,0.0,0,0,Other,heres how mineflow differs
"Comprehensive data integration: Our model incorporates all available data points from the site, not just drilling information, ensuring a more complete analysis. RBF/Inverse distance/others cannot support the complex, multimodal data you have collected on site (like individual rock samples and geochemical samples). All data types are supported by Mineflow. Mineflow generates predictions based on all of the data you have collected as long as it is georeferenced.",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752284,MineFlow,0.10833333333333332,0.484,2,3,Value Proposition,comprehensive data integration our model incorporates all available data points from the site not just drilling information ensuring a more complete analysis rbfinverse distanceothers cannot support the complex multimodal data you have collected on site like individual rock samples and geochemical samples all data types are supported by mineflow mineflow generates predictions based on all of the data you have collected as long as it is georeferenced
"Cross-site learning: Mineflow allows you to leverage data from one site to inform exploration at another. If there is any similarity at all in the data collected at the two sites, Mineflow's neural net will find that correlation. RBF/Inverse distance/others are not able to learn how to make predictions based on multiple-sites worth of data.",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752287,MineFlow,0.016666666666666663,0.4215,1,1,Balanced,crosssite learning mineflow allows you to leverage data from one site to inform exploration at another if there is any similarity at all in the data collected at the two sites mineflows neural net will find that correlation rbfinverse distanceothers are not able to learn how to make predictions based on multiplesites worth of data
"Advanced pattern recognition: Mineflow uses deep learning-based AI and sophisticated machine learning algorithms to understand complex, non-linear relationships between multiple samples even if they are not close to each other on a map. RBF/Inverse distance/others are just functions that find lines between points, so they are not able to do this.",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752290,MineFlow,0.032142857142857154,0.6808,0,1,Value Proposition,advanced pattern recognition mineflow uses deep learningbased ai and sophisticated machine learning algorithms to understand complex nonlinear relationships between multiple samples even if they are not close to each other on a map rbfinverse distanceothers are just functions that find lines between points so they are not able to do this
"Identify missed deposits: Because RBF/Inverse distance/others just find lines between data points, if there is a second deposit that is close by that you haven't directly intersected with, RBF and Inverse Distance will never find it. Mineflow will likely find it.",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752293,MineFlow,0.03333333333333333,-0.296,1,1,Balanced,identify missed deposits because rbfinverse distanceothers just find lines between data points if there is a second deposit that is close by that you havent directly intersected with rbf and inverse distance will never find it mineflow will likely find it
Why is Mineflow better than joint inversion models?,h3,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752295,MineFlow,0.5,0.4404,0,0,Other,why is mineflow better than joint inversion models
Why are few assumptions good?,h3,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752298,MineFlow,0.24999999999999997,0.4404,0,0,Other,why are few assumptions good
"Humans have developed an strong understanding of geology and with it, powerful abstractions for how rock structures tend to form and correlate with one another. This leads to new mineral discoveries and scientific achievements regularly.",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752301,MineFlow,0.1939393939393939,0.7269,1,2,Value Proposition,humans have developed an strong understanding of geology and with it powerful abstractions for how rock structures tend to form and correlate with one another this leads to new mineral discoveries and scientific achievements regularly
"That said, when you consider any field from a computational perspective, trying to program human intuition into your model of how systems work is difficult and often misguided. When we look at the history of computational models, we find that those that excel are big and generalizable--that is, they take in a massive amount of data and they have few assumptions hard-coded into how they handle that data. The field of mineral exploration is well-poised to take advantage of the explosion of publicly available data on the natural world. From academic datasets to satellite APIs and published 43-101s, the internet is full of data that we combine with the power of AI to better predict what is underground.",p,https://mineflow.ai/docs,Mineflow,AI-driven mineral exploration.,['Documentation'],2024-11-21T11:18:19.752306,MineFlow,0.065,0.8316,3,3,Balanced,that said when you consider any field from a computational perspective trying to program human intuition into your model of how systems work is difficult and often misguided when we look at the history of computational models we find that those that excel are big and generalizablethat is they take in a massive amount of data and they have few assumptions hardcoded into how they handle that data the field of mineral exploration is wellpoised to take advantage of the explosion of publicly available data on the natural world from academic datasets to satellite apis and published s the internet is full of data that we combine with the power of ai to better predict what is underground
Mineflow,p,https://mineflow.ai/pricing,Mineflow,AI-driven mineral exploration.,"['Pricing', 'Get unlimited access.']",2024-11-21T11:18:19.935326,MineFlow,0.0,0.0,0,0,Other,mineflow
Pricing,h1,https://mineflow.ai/pricing,Mineflow,AI-driven mineral exploration.,"['Pricing', 'Get unlimited access.']",2024-11-21T11:18:19.935334,MineFlow,0.0,0.0,0,0,Other,pricing
Get unlimited access.,h1,https://mineflow.ai/pricing,Mineflow,AI-driven mineral exploration.,"['Pricing', 'Get unlimited access.']",2024-11-21T11:18:19.935335,MineFlow,0.0,0.0,0,0,Other,get unlimited access
Discover the ideal plan for your exploration team.,h2,https://mineflow.ai/pricing,Mineflow,AI-driven mineral exploration.,"['Pricing', 'Get unlimited access.']",2024-11-21T11:18:19.935337,MineFlow,0.9,0.6486,1,1,Balanced,discover the ideal plan for your exploration team
Pro,h2,https://mineflow.ai/pricing,Mineflow,AI-driven mineral exploration.,"['Pricing', 'Get unlimited access.']",2024-11-21T11:18:19.935338,MineFlow,0.0,0.0,0,0,Other,pro
For teams of 1-25 geologists.,p,https://mineflow.ai/pricing,Mineflow,AI-driven mineral exploration.,"['Pricing', 'Get unlimited access.']",2024-11-21T11:18:19.935340,MineFlow,0.0,0.0,0,0,Other,for teams of geologists
Unlimited data uploads and model retrains,p,https://mineflow.ai/pricing,Mineflow,AI-driven mineral exploration.,"['Pricing', 'Get unlimited access.']",2024-11-21T11:18:19.935342,MineFlow,0.0,0.0,0,0,Other,unlimited data uploads and model retrains
Unlimited predictions,p,https://mineflow.ai/pricing,Mineflow,AI-driven mineral exploration.,"['Pricing', 'Get unlimited access.']",2024-11-21T11:18:19.935343,MineFlow,0.0,0.0,0,0,Other,unlimited predictions
Unlimited projects,p,https://mineflow.ai/pricing,Mineflow,AI-driven mineral exploration.,"['Pricing', 'Get unlimited access.']",2024-11-21T11:18:19.935345,MineFlow,0.0,0.0,0,0,Other,unlimited projects
Access your predictions in perpetuity,p,https://mineflow.ai/pricing,Mineflow,AI-driven mineral exploration.,"['Pricing', 'Get unlimited access.']",2024-11-21T11:18:19.935346,MineFlow,0.0,0.0,0,0,Other,access your predictions in perpetuity
1TB of storage,p,https://mineflow.ai/pricing,Mineflow,AI-driven mineral exploration.,"['Pricing', 'Get unlimited access.']",2024-11-21T11:18:19.935347,MineFlow,0.0,0.0,0,0,Other,tb of storage
24/7 customer support,p,https://mineflow.ai/pricing,Mineflow,AI-driven mineral exploration.,"['Pricing', 'Get unlimited access.']",2024-11-21T11:18:19.935349,MineFlow,0.0,0.4019,0,0,Other,customer support
Finding the materials of the future with AI and HI.,h1,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470630,KoBold,0.0,0.0,0,0,Other,finding the materials of the future with ai and hi
What we do,h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470643,KoBold,0.0,0.0,0,0,Other,what we do
KoBold invests over $60 million annually across our 60+ projects on 4 continents. KoBold also leads the world’s largest exploration R&D effort to advance the frontier of exploration technology with AI and novel hardware.,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470644,KoBold,0.0,0.6249,2,2,Balanced,kobold invests over million annually across our projects on continents kobold also leads the worlds largest exploration rd effort to advance the frontier of exploration technology with ai and novel hardware
Multidisciplinary Science,h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470646,KoBold,0.0,0.0,0,0,Other,multidisciplinary science
Turning mineral exploration into a repeatable science with 3 ingredients,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470647,KoBold,0.0,0.2263,1,1,Balanced,turning mineral exploration into a repeatable science with ingredients
01,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470648,KoBold,0.0,0.0,0,0,Other,
Our geoscience leads have been a part of the most significant discoveries of the last generation,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470650,KoBold,0.2916666666666667,0.2716,0,0,Other,our geoscience leads have been a part of the most significant discoveries of the last generation
01,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470651,KoBold,0.0,0.0,0,0,Other,
Our geoscience leads have been a part of the most significant discoveries of the last generation,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470652,KoBold,0.2916666666666667,0.2716,0,0,Other,our geoscience leads have been a part of the most significant discoveries of the last generation
02,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470654,KoBold,0.0,0.0,0,0,Other,
KoBold invests substantially in aggregating all available information about the physics and chemistry of the Earth’s crust,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470655,KoBold,0.4,0.0,0,0,Other,kobold invests substantially in aggregating all available information about the physics and chemistry of the earths crust
02,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470656,KoBold,0.0,0.0,0,0,Other,
KoBold invests substantially in aggregating all available information about the physics and chemistry of the Earth’s crust,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470658,KoBold,0.4,0.0,0,0,Other,kobold invests substantially in aggregating all available information about the physics and chemistry of the earths crust
03,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470659,KoBold,0.0,0.0,0,0,Other,
"Our proprietary AI tools build on a concept we call Efficacy of Information (EOI), enabling KoBold to determine which data to collect at each exploration step to maximize uncertainty reduction",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470661,KoBold,0.0,-0.128,1,1,Balanced,our proprietary ai tools build on a concept we call efficacy of information eoi enabling kobold to determine which data to collect at each exploration step to maximize uncertainty reduction
03,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470662,KoBold,0.0,0.0,0,0,Other,
"Our proprietary AI tools build on a concept we call Efficacy of Information (EOI), enabling KoBold to determine which data to collect at each exploration step to maximize uncertainty reduction",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470663,KoBold,0.0,-0.128,1,1,Balanced,our proprietary ai tools build on a concept we call efficacy of information eoi enabling kobold to determine which data to collect at each exploration step to maximize uncertainty reduction
Our multidisciplinary approach is turning mineral exploration into a science.,h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470664,KoBold,0.0,0.2263,1,1,Balanced,our multidisciplinary approach is turning mineral exploration into a science
See How it Works,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470666,KoBold,0.0,0.0,0,0,Other,see how it works
The mineral exploration industry has an information problem.,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470667,KoBold,0.0,-0.2023,1,1,Balanced,the mineral exploration industry has an information problem
"There are far too many variables, and too few reliable data sources. Discoveries to date often rely on incomplete data, intuition, and luck. We simply don’t know enough, and the cost of exploration is too high.

While the majority of easy-to-find deposits have already been discovered, the mineral deposits of the future will be found deep underground. Uncovering them requires a different approach to exploration.",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470670,KoBold,0.062222222222222213,0.7003,4,5,Value Proposition,there are far too many variables and too few reliable data sources discoveries to date often rely on incomplete data intuition and luck we simply dont know enough and the cost of exploration is too high while the majority of easytofind deposits have already been discovered the mineral deposits of the future will be found deep underground uncovering them requires a different approach to exploration
Making exploration a repeatable science,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470671,KoBold,0.0,0.2263,1,1,Balanced,making exploration a repeatable science
"KoBold’s approach is more than a process. It’s a philosophy. Instead of gathering what data we can and attempting to draw conclusions from that alone, we focus on the level of uncertainty we have about any given information problem. By quantifying our uncertainty, and focusing our efforts on reducing that uncertainty, we turn the inefficient business of exploration into a repeatable, efficient, and extensible science. We call this the Epistemology of Exploration, and it’s the guiding force behind all our work.",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470672,KoBold,0.04999999999999999,-0.6486,2,3,Value Proposition,kobolds approach is more than a process its a philosophy instead of gathering what data we can and attempting to draw conclusions from that alone we focus on the level of uncertainty we have about any given information problem by quantifying our uncertainty and focusing our efforts on reducing that uncertainty we turn the inefficient business of exploration into a repeatable efficient and extensible science we call this the epistemology of exploration and its the guiding force behind all our work
Organizing,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470674,KoBold,0.0,0.0,0,0,Other,organizing
"The staggering amount data needed to make successful discoveries is a huge problem of organization, categorization, and accessibility. The data in many cases is fragmented, inconsistent, and incompatible.

We’ve created TerraShed, a proprietary data system specifically designed to store and facilitate organized access to global geoscience information. Our platform allows our teams to efficiently input diverse types of structured and unstructured geophysical data, and quickly processes, standardizes, and quality tests the data sources. This extensive repository makes information available to KoBold scientists for visualization, machine learning, and various scientific computing purposes.",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470676,KoBold,0.29791666666666666,0.7964,2,2,Balanced,the staggering amount data needed to make successful discoveries is a huge problem of organization categorization and accessibility the data in many cases is fragmented inconsistent and incompatible weve created terrashed a proprietary data system specifically designed to store and facilitate organized access to global geoscience information our platform allows our teams to efficiently input diverse types of structured and unstructured geophysical data and quickly processes standardizes and quality tests the data sources this extensive repository makes information available to kobold scientists for visualization machine learning and various scientific computing purposes
Reducing uncertainties and guiding decisions.,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470677,KoBold,0.0,-0.34,0,0,Other,reducing uncertainties and guiding decisions
"Once robust, easily accessible data is available, the challenge shifts to utilizing that information effectively for informed exploration and development decisions. This process requires thorough examination and comparison of the data in numerous targeted ways to minimize uncertainties.

To do this, we developed Machine Prospector®, a continually evolving system comprising a growing repository of proprietary machine learning, data processing, and artificial intelligence modules. KoBold scientists use this suite of tools in various combinations to assess prospects and guide decisions at a global scale.",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470679,KoBold,0.10937500000000001,0.91,2,3,Value Proposition,once robust easily accessible data is available the challenge shifts to utilizing that information effectively for informed exploration and development decisions this process requires thorough examination and comparison of the data in numerous targeted ways to minimize uncertainties to do this we developed machine prospector a continually evolving system comprising a growing repository of proprietary machine learning data processing and artificial intelligence modules kobold scientists use this suite of tools in various combinations to assess prospects and guide decisions at a global scale
Leveraging real-time insights to  constantly improve.,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470681,KoBold,0.0,0.4404,0,0,Other,leveraging realtime insights to constantly improve
"This innovative approach to exploration means our scientists can leverage continuously improving data and tools, enabling better decision-making. Those decisions can be more efficiently tested in the field — from identifying better exploration sites to increase understanding, to targeting the optimal drill hole — results can be returned, analyzed, and acted on faster than ever before.

As KoBold's work progresses, our systems continue to strengthen and evolve, with each iteration building upon the previous one. With this scientific approach, KoBold accelerates the pace of exploration and establishes a new standard for the industry.",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2024-11-21T11:18:23.470682,KoBold,0.2813852813852814,0.9729,3,4,Value Proposition,this innovative approach to exploration means our scientists can leverage continuously improving data and tools enabling better decisionmaking those decisions can be more efficiently tested in the field from identifying better exploration sites to increase understanding to targeting the optimal drill hole results can be returned analyzed and acted on faster than ever before as kobolds work progresses our systems continue to strengthen and evolve with each iteration building upon the previous one with this scientific approach kobold accelerates the pace of exploration and establishes a new standard for the industry
