text,element_type,url,title,meta_description,h1_tags,scrape_date,competitor,sentiment,vader_sentiment,average_sentiment,technical_keywords,value_keywords,intent,cleaned_text
24/7 customer support,p,https://mineflow.ai/pricing,Mineflow,AI-driven mineral exploration.,"['Pricing', 'Get unlimited access.']",2025-01-10T13:46:49.393220,MineFlow,0.73,0.4019,0.56595,0,0,Other,customer support
Finding the materials of the future with AI and HI.,h1,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102029,KoBold,0.0,0.0,0.0,1,1,Balanced,finding the materials of the future with ai and hi
What we do,h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102042,KoBold,0.0,0.0,0.0,0,0,Other,what we do
KoBold invests over $100 million annually across our 70+ projects on 5 continents. KoBold also leads the world’s largest exploration R&D effort to advance the frontier of exploration technology with AI and novel hardware.,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102045,KoBold,0.179,0.6249,0.40195000000000003,2,2,Balanced,kobold invests over million annually across our projects on continents kobold also leads the worlds largest exploration rd effort to advance the frontier of exploration technology with ai and novel hardware
Multidisciplinary Science,h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102046,KoBold,0.0,0.0,0.0,0,0,Other,multidisciplinary science
Turning mineral exploration into a repeatable science with 3 ingredients,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102050,KoBold,0.213,0.2263,0.21965,1,1,Balanced,turning mineral exploration into a repeatable science with ingredients
01,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102052,KoBold,0.0,0.0,0.0,0,0,Error,
Our geoscience leads have been a part of the most significant discoveries of the last generation,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102054,KoBold,0.13,0.2716,0.2008,0,0,Other,our geoscience leads have been a part of the most significant discoveries of the last generation
01,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102055,KoBold,0.0,0.0,0.0,0,0,Error,
Our geoscience leads have been a part of the most significant discoveries of the last generation,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102057,KoBold,0.13,0.2716,0.2008,0,0,Other,our geoscience leads have been a part of the most significant discoveries of the last generation
02,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102059,KoBold,0.0,0.0,0.0,0,0,Error,
KoBold invests substantially in aggregating all available information about the physics and chemistry of the Earth’s crust,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102061,KoBold,0.0,0.0,0.0,0,0,Other,kobold invests substantially in aggregating all available information about the physics and chemistry of the earths crust
02,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102062,KoBold,0.0,0.0,0.0,0,0,Error,
KoBold invests substantially in aggregating all available information about the physics and chemistry of the Earth’s crust,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102064,KoBold,0.0,0.0,0.0,0,0,Other,kobold invests substantially in aggregating all available information about the physics and chemistry of the earths crust
03,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102066,KoBold,0.0,0.0,0.0,0,0,Error,
"Our proprietary AI tools build on a concept we call Efficacy of Information (EOI), enabling KoBold to determine which data to collect at each exploration step to maximize uncertainty reduction",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102067,KoBold,-0.016,-0.128,-0.07200000000000001,2,2,Balanced,our proprietary ai tools build on a concept we call efficacy of information eoi enabling kobold to determine which data to collect at each exploration step to maximize uncertainty reduction
03,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102069,KoBold,0.0,0.0,0.0,0,0,Error,
"Our proprietary AI tools build on a concept we call Efficacy of Information (EOI), enabling KoBold to determine which data to collect at each exploration step to maximize uncertainty reduction",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102075,KoBold,-0.016,-0.128,-0.07200000000000001,2,2,Balanced,our proprietary ai tools build on a concept we call efficacy of information eoi enabling kobold to determine which data to collect at each exploration step to maximize uncertainty reduction
Our multidisciplinary approach is turning mineral exploration into a science.,h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102077,KoBold,0.192,0.2263,0.20915,1,1,Balanced,our multidisciplinary approach is turning mineral exploration into a science
See How it Works,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102079,KoBold,0.0,0.0,0.0,0,0,Other,see how it works
The mineral exploration industry has an information problem.,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102122,KoBold,-0.07600000000000001,-0.2023,-0.13915,1,1,Balanced,the mineral exploration industry has an information problem
"There are far too many variables, and too few reliable data sources. Discoveries to date often rely on incomplete data, intuition, and luck. We simply don’t know enough, and the cost of exploration is too high.

While the majority of easy-to-find deposits have already been discovered, the mineral deposits of the future will be found deep underground. Uncovering them requires a different approach to exploration.",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102133,KoBold,0.1,0.7003,0.40015,2,3,Value Proposition,there are far too many variables and too few reliable data sources discoveries to date often rely on incomplete data intuition and luck we simply dont know enough and the cost of exploration is too high while the majority of easytofind deposits have already been discovered the mineral deposits of the future will be found deep underground uncovering them requires a different approach to exploration
Making exploration a repeatable science,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102135,KoBold,0.388,0.2263,0.30715000000000003,1,1,Balanced,making exploration a repeatable science
"KoBold’s approach is more than a process. It’s a philosophy. Instead of gathering what data we can and attempting to draw conclusions from that alone, we focus on the level of uncertainty we have about any given information problem. By quantifying our uncertainty, and focusing our efforts on reducing that uncertainty, we turn the inefficient business of exploration into a repeatable, efficient, and extensible science. We call this the Epistemology of Exploration, and it’s the guiding force behind all our work.",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102137,KoBold,-0.05900000000000001,-0.6486,-0.3538,1,2,Value Proposition,kobolds approach is more than a process its a philosophy instead of gathering what data we can and attempting to draw conclusions from that alone we focus on the level of uncertainty we have about any given information problem by quantifying our uncertainty and focusing our efforts on reducing that uncertainty we turn the inefficient business of exploration into a repeatable efficient and extensible science we call this the epistemology of exploration and its the guiding force behind all our work
Organizing,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102139,KoBold,0.0,0.0,0.0,0,0,Other,organizing
"The staggering amount data needed to make successful discoveries is a huge problem of organization, categorization, and accessibility. The data in many cases is fragmented, inconsistent, and incompatible.

We’ve created TerraShed, a proprietary data system specifically designed to store and facilitate organized access to global geoscience information. Our platform allows our teams to efficiently input diverse types of structured and unstructured geophysical data, and quickly processes, standardizes, and quality tests the data sources. This extensive repository makes information available to KoBold scientists for visualization, machine learning, and various scientific computing purposes.",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102230,KoBold,0.083,0.7964,0.4397,2,2,Balanced,the staggering amount data needed to make successful discoveries is a huge problem of organization categorization and accessibility the data in many cases is fragmented inconsistent and incompatible weve created terrashed a proprietary data system specifically designed to store and facilitate organized access to global geoscience information our platform allows our teams to efficiently input diverse types of structured and unstructured geophysical data and quickly processes standardizes and quality tests the data sources this extensive repository makes information available to kobold scientists for visualization machine learning and various scientific computing purposes
Reducing uncertainties and guiding decisions.,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102240,KoBold,-0.375,-0.34,-0.35750000000000004,0,0,Other,reducing uncertainties and guiding decisions
"Once robust, easily accessible data is available, the challenge shifts to utilizing that information effectively for informed exploration and development decisions. This process requires thorough examination and comparison of the data in numerous targeted ways to minimize uncertainties.

To do this, we developed Machine Prospector®, a continually evolving system comprising a growing repository of proprietary machine learning, data processing, and artificial intelligence modules. KoBold scientists use this suite of tools in various combinations to assess prospects and guide decisions at a global scale.",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102244,KoBold,0.17,0.91,0.54,2,3,Value Proposition,once robust easily accessible data is available the challenge shifts to utilizing that information effectively for informed exploration and development decisions this process requires thorough examination and comparison of the data in numerous targeted ways to minimize uncertainties to do this we developed machine prospector a continually evolving system comprising a growing repository of proprietary machine learning data processing and artificial intelligence modules kobold scientists use this suite of tools in various combinations to assess prospects and guide decisions at a global scale
Leveraging real-time insights to  constantly improve.,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102246,KoBold,0.367,0.4404,0.4037,0,0,Other,leveraging realtime insights to constantly improve
"This innovative approach to exploration means our scientists can leverage continuously improving data and tools, enabling better decision-making. Those decisions can be more efficiently tested in the field — from identifying better exploration sites to increase understanding, to targeting the optimal drill hole — results can be returned, analyzed, and acted on faster than ever before.

As KoBold's work progresses, our systems continue to strengthen and evolve, with each iteration building upon the previous one. With this scientific approach, KoBold accelerates the pace of exploration and establishes a new standard for the industry.",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102249,KoBold,0.257,0.9729,0.61495,1,2,Value Proposition,this innovative approach to exploration means our scientists can leverage continuously improving data and tools enabling better decisionmaking those decisions can be more efficiently tested in the field from identifying better exploration sites to increase understanding to targeting the optimal drill hole results can be returned analyzed and acted on faster than ever before as kobolds work progresses our systems continue to strengthen and evolve with each iteration building upon the previous one with this scientific approach kobold accelerates the pace of exploration and establishes a new standard for the industry
Our Work,h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102251,KoBold,0.0,0.0,0.0,0,0,Other,our work
KoBold is exploring 70+ projects across the globe,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102253,KoBold,0.0,0.0,0.0,0,0,Other,kobold is exploring projects across the globe
"KoBold is building the world's largest collection of geoscience information. Using AI systems, KoBold interrogates that data to model the sub-surface in the most statistically valid manner ever.",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102254,KoBold,0.0,0.0,0.0,2,2,Balanced,kobold is building the worlds largest collection of geoscience information using ai systems kobold interrogates that data to model the subsurface in the most statistically valid manner ever
"At KoBold, Ethics come first.",h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102256,KoBold,0.0,0.0,0.0,0,0,Other,at kobold ethics come first
"In all aspects of our business, we aim to meet the highest standards of safety, integrity, and respect for people and the environment.",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102258,KoBold,0.298,0.8176,0.5578,0,0,Other,in all aspects of our business we aim to meet the highest standards of safety integrity and respect for people and the environment
"Watch KoBold CEO, Kurt House discuss our work in Canada for NBC Nightly News.",h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102260,KoBold,0.0,0.0,0.0,0,0,Other,watch kobold ceo kurt house discuss our work in canada for nbc nightly news
Help us accelerate the future of mineral exploration.,h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102262,KoBold,0.434,0.5574,0.49570000000000003,1,1,Balanced,help us accelerate the future of mineral exploration
Investor Spotlight,h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102264,KoBold,0.0,0.0,0.0,0,0,Other,investor spotlight
Backed by world class investors.,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102272,KoBold,0.216,0.0258,0.1209,0,0,Other,backed by world class investors
KoBold Metals® is privately held and backed by long-term investors committed to the discovery and development of new battery metal resources.,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102274,KoBold,0.144,0.296,0.21999999999999997,0,0,Other,kobold metals is privately held and backed by longterm investors committed to the discovery and development of new battery metal resources
Exploration Partners,h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102276,KoBold,0.655,0.2263,0.44065,1,1,Balanced,exploration partners
Fill out the Prospect Registration with your company and mineral license number to work with us.,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102278,KoBold,0.2,0.3612,0.2806,0,0,Other,fill out the prospect registration with your company and mineral license number to work with us
© 2025 KoBold Metals,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102279,KoBold,0.0,0.0,0.0,0,0,Other,kobold metals
"KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.",h1,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292287,KoBold,0.137,0.2263,0.18165,2,2,Balanced,kobold brings cash worldleading experts and our exploration ai to every jointventure project
"KoBold doesn’t sell or license our technology.  However, our Joint-Venture partners and Exploration-Alliance partners directly benefit as we deploy our technology to guide exploration decisions on our jointly-owned projects.",h2,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292296,KoBold,0.154,0.5994,0.37670000000000003,1,1,Balanced,kobold doesnt sell or license our technology however our jointventure partners and explorationalliance partners directly benefit as we deploy our technology to guide exploration decisions on our jointlyowned projects
We’re constantly searching for great new investments to make and new joint-venture partnerships to form.,h2,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292298,KoBold,0.227,0.6249,0.42595,0,0,Other,were constantly searching for great new investments to make and new jointventure partnerships to form
By the numbers,h2,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292299,KoBold,0.0,0.0,0.0,0,0,Other,by the numbers
Exploration as a science and at a global scale.,h3,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292301,KoBold,0.241,0.2263,0.23365,1,1,Balanced,exploration as a science and at a global scale
"KoBold is making exploration a repeatable science through comprehensive data aggregation, geoscience excellence, and artificial intelligence. We deploy the world’s largest R&D budget dedicated to the search for scarce battery metals.",p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292303,KoBold,0.361,0.9201,0.64055,1,2,Value Proposition,kobold is making exploration a repeatable science through comprehensive data aggregation geoscience excellence and artificial intelligence we deploy the worlds largest rd budget dedicated to the search for scarce battery metals
>,p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292304,KoBold,0.0,0.0,0.0,0,0,Error,
100,p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292305,KoBold,0.0,0.0,0.0,0,0,Error,
Scientists working collaboratively.,h2,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292307,KoBold,0.0,0.0,0.0,0,0,Other,scientists working collaboratively
"Including alumni from Google, NASA, Exxon, BHP, Apple, BarrickGold, Meta, Ivanhoe, Falconbridge, Vale, Rio Tinto, SilaNano, etc.",p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292309,KoBold,0.0,0.0,0.0,0,0,Other,including alumni from google nasa exxon bhp apple barrickgold meta ivanhoe falconbridge vale rio tinto silanano etc
>,p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292310,KoBold,0.0,0.0,0.0,0,0,Error,
70,p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292311,KoBold,0.0,0.0,0.0,0,0,Error,
Exploration projects across 5 continents.,h2,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292313,KoBold,0.388,0.2263,0.30715000000000003,1,1,Balanced,exploration projects across continents
We deploy the world’s largest R&D budget dedicated to the search for scarce battery metals.,p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292314,KoBold,0.176,0.4588,0.3174,0,0,Other,we deploy the worlds largest rd budget dedicated to the search for scarce battery metals
~,p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292315,KoBold,0.0,0.0,0.0,0,0,Error,
$100,p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292317,KoBold,0.0,0.0,0.0,0,0,Error,
million,p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292318,KoBold,0.0,0.0,0.0,0,0,Other,million
Spent in exploration and R&D in 2023 alone.,h2,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292319,KoBold,-0.01200000000000001,-0.0258,-0.018900000000000007,1,1,Balanced,spent in exploration and rd in alone
"Using artificial intelligence and cutting edge technology, we can model the sub-surface and explore at depths and in ways beyond the reach of conventional techniques.",p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292320,KoBold,0.098,0.4019,0.24995,1,1,Balanced,using artificial intelligence and cutting edge technology we can model the subsurface and explore at depths and in ways beyond the reach of conventional techniques
The easy-to-find minerals have already been discovered.,h2,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292324,KoBold,0.0,0.0,0.0,0,0,Other,the easytofind minerals have already been discovered
"Over 99% of conventional exploration projects fail to become mines. Over the past 30 years, success rates have plummeted, while costs have risen. Finding new deposits requires the ability to peer into the Earth’s subsurface in innovative ways.",p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292326,KoBold,0.16099999999999998,0.743,0.45199999999999996,3,4,Value Proposition,over of conventional exploration projects fail to become mines over the past years success rates have plummeted while costs have risen finding new deposits requires the ability to peer into the earths subsurface in innovative ways
Kobold at work,h2,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292327,KoBold,0.0,0.0,0.0,0,0,Other,kobold at work
Working in the world’s premier mining districts.,h3,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292329,KoBold,0.0,0.0,0.0,0,0,Other,working in the worlds premier mining districts
"With over 70 active projects across five continents, KoBold employs international and local talent to explore for minerals in some of the world’s most challenging terrain.",p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292330,KoBold,0.252,0.7501,0.50105,0,0,Other,with over active projects across five continents kobold employs international and local talent to explore for minerals in some of the worlds most challenging terrain
Project Spotlight,h2,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292331,KoBold,0.0,0.0,0.0,0,0,Other,project spotlight
What it looks like on the ground.,h3,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292332,KoBold,0.294,0.3612,0.3276,0,0,Other,what it looks like on the ground
"""KoBold invests $100 million a year in our exploration prospects.""",p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292334,KoBold,0.406,0.4767,0.44135,1,1,Balanced,kobold invests million a year in our exploration prospects
Real-time Advantage,h2,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292335,KoBold,0.667,0.25,0.4585,0,0,Other,realtime advantage
Partnering with KoBold gives you access to AI systems no other company has.,h3,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292336,KoBold,-0.155,-0.296,-0.22549999999999998,1,1,Balanced,partnering with kobold gives you access to ai systems no other company has
"KoBold’s AI enables us to collect the most useful new information and process that data at a continental scale. Geoscientists collect new field data, which data scientists use to re-train models enabling near-real time updates to sub-surface predictions.",p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292338,KoBold,0.081,0.4927,0.28685,2,2,Balanced,kobolds ai enables us to collect the most useful new information and process that data at a continental scale geoscientists collect new field data which data scientists use to retrain models enabling nearreal time updates to subsurface predictions
Our AI interrogates all manner of geoscience data to find new opportunities and guide decisions based on rigorous statistics.,h2,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292339,KoBold,0.022999999999999993,0.128,0.0755,1,1,Balanced,our ai interrogates all manner of geoscience data to find new opportunities and guide decisions based on rigorous statistics
"We use machine learning to interrogate this data to find new opportunities and guide decisions based on meticulous statistics. Our approach enables prospects to be assessed more rapidly and with greater accuracy. This saves time, money, and resources and reduces the environmental impact. We partner at all stages of the process.",p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292341,KoBold,0.132,0.743,0.4375,0,1,Value Proposition,we use machine learning to interrogate this data to find new opportunities and guide decisions based on meticulous statistics our approach enables prospects to be assessed more rapidly and with greater accuracy this saves time money and resources and reduces the environmental impact we partner at all stages of the process
© 2025 KoBold Metals,p,https://www.koboldmetals.com/partnership,"
    Partnership  –    ",,"['KoBold brings cash, world-leading experts, and our exploration AI to every joint-venture project.']",2025-01-10T13:46:53.292342,KoBold,0.0,0.0,0.0,0,0,Other,kobold metals
Learn more about our efforts in action.,h1,https://www.koboldmetals.com/news,"
    News  –    ",,['Learn more about our efforts in action.'],2025-01-10T13:46:53.434650,KoBold,0.0,0.0,0.0,0,0,Other,learn more about our efforts in action
01,p,https://www.koboldmetals.com/news,"
    News  –    ",,['Learn more about our efforts in action.'],2025-01-10T13:46:53.434660,KoBold,0.0,0.0,0.0,0,0,Error,
Mining startup KoBold Metals valued at $2.96bn after closing $537m Series C,h2,https://www.koboldmetals.com/news,"
    News  –    ",,['Learn more about our efforts in action.'],2025-01-10T13:46:53.434661,KoBold,0.244,0.4404,0.3422,0,0,Other,mining startup kobold metals valued at bn after closing m series c
"Happy New Year to all!

To ring in the new year, KoBold announced the close of its $537m Series C in an interview with the Financial Times.



The reporter asked Kurt about the impact of former President Trump’s election on the U.S. Government’s support for diversifying the critical minera...",p,https://www.koboldmetals.com/news,"
    News  –    ",,['Learn more about our efforts in action.'],2025-01-10T13:46:53.434663,KoBold,0.077,0.6249,0.35095,0,0,Other,happy new year to all to ring in the new year kobold announced the close of its m series c in an interview with the financial times the reporter asked kurt about the impact of former president trumps election on the us governments support for diversifying the critical minera
02,p,https://www.koboldmetals.com/news,"
    News  –    ",,['Learn more about our efforts in action.'],2025-01-10T13:46:53.434664,KoBold,0.0,0.0,0.0,0,0,Error,
Partnership for Global Infrastructure and Investment in the Lobito Trans-Africa Corridor,h2,https://www.koboldmetals.com/news,"
    News  –    ",,['Learn more about our efforts in action.'],2025-01-10T13:46:53.434666,KoBold,0.0,0.0,0.0,1,1,Balanced,partnership for global infrastructure and investment in the lobito transafrica corridor
"Today, the The White House announced that KoBold Metals signed an MOU with Africa Finance Corporation “committing to anchor the commercial viability of the Zambia-Lobito rail project with more than 300,000 tons of copper per year from its Mingomba mine.”

Josh Goldman, President of KoBold Meta...",p,https://www.koboldmetals.com/news,"
    News  –    ",,['Learn more about our efforts in action.'],2025-01-10T13:46:53.434667,KoBold,0.029,0.0772,0.0531,0,0,Other,today the the white house announced that kobold metals signed an mou with africa finance corporation committing to anchor the commercial viability of the zambialobito rail project with more than tons of copper per year from its mingomba mine josh goldman president of kobold meta
03,p,https://www.koboldmetals.com/news,"
    News  –    ",,['Learn more about our efforts in action.'],2025-01-10T13:46:53.434668,KoBold,0.0,0.0,0.0,0,0,Error,
Leaders Forum: Innovation in a New Era of African Mining (CMA 2024),h2,https://www.koboldmetals.com/news,"
    News  –    ",,['Learn more about our efforts in action.'],2025-01-10T13:46:53.434669,KoBold,0.224,0.3818,0.3029,0,0,Other,leaders forum innovation in a new era of african mining cma
